Profiling Summary: GatherDoF_TapCount_40_Incremental
============================================================

Warmup frames: 10
Profiling frames: 100

GPU Timings (ms):
------------------------------------------------------------
Pass                                          Avg      Min      Max
Tex: _loadedTexture_54                      0.000    0.000    0.001
Tex: _loadedTexture_118                     0.000    0.000    0.001
Tex: _loadedTexture_100                     0.000    0.000    0.001
Tex: _loadedTexture_36                      0.000    0.000    0.001
Tex: _loadedTexture_136                     0.000    0.000    0.001
Tex: _loadedTexture_59                      0.000    0.000    0.001
Tex: _loadedTexture_115                     0.000    0.000    0.001
Tex: _loadedTexture_89                      0.000    0.000    0.001
Tex: _loadedTexture_10                      0.000    0.000    0.001
Tex: _loadedTexture_80                      0.000    0.000    0.001
Tex: _loadedTexture_79                      0.000    0.000    0.001
Tex: _loadedTexture_145                     0.000    0.000    0.001
Tex: _loadedTexture_204                     0.000    0.000    0.001
Tex: _loadedTexture_93                      0.000    0.000    0.001
Tex: _loadedTexture_144                     0.000    0.000    0.001
Tex: _loadedTexture_207                     0.000    0.000    0.001
Tex: _loadedTexture_176                     0.000    0.000    0.001
Tex: _loadedTexture_61                      0.000    0.000    0.001
Tex: _loadedTexture_65                      0.000    0.000    0.001
Tex: _loadedTexture_53                      0.000    0.000    0.001
Tex: _loadedTexture_137                     0.000    0.000    0.001
Tex: _loadedTexture_117                     0.000    0.000    0.001
Tex: _loadedTexture_71                      0.000    0.000    0.001
Tex: _loadedTexture_168                     0.000    0.000    0.001
Tex: _loadedTexture_91                      0.000    0.000    0.001
Tex: _loadedTexture_87                      0.000    0.000    0.001
Tex: _loadedTexture_127                     0.000    0.000    0.001
Tex: _loadedTexture_119                     0.000    0.000    0.001
Tex: _loadedTexture_135                     0.000    0.000    0.001
Tex: _loadedTexture_143                     0.000    0.000    0.001
Tex: _loadedTexture_200                     0.000    0.000    0.001
Tex: _loadedTexture_184                     0.000    0.000    0.001
Tex: _loadedTexture_141                     0.000    0.000    0.001
Tex: _loadedTexture_174                     0.000    0.000    0.001
Tex: _loadedTexture_97                      0.000    0.000    0.001
Tex: _loadedTexture_147                     0.000    0.000    0.001
Tex: _loadedTexture_101                     0.000    0.000    0.001
Tex: _loadedTexture_189                     0.000    0.000    0.001
Tex: _loadedTexture_32                      0.000    0.000    0.001
Tex: _loadedTexture_132                     0.000    0.000    0.001
Tex: _loadedTexture_208                     0.000    0.000    0.001
Tex: _loadedTexture_133                     0.000    0.000    0.001
Tex: _loadedTexture_75                      0.000    0.000    0.001
Tex: _loadedTexture_122                     0.000    0.000    0.001
Tex: _loadedTexture_55                      0.000    0.000    0.001
Tex: _loadedTexture_8                       0.000    0.000    0.001
Tex: _loadedTexture_166                     0.000    0.000    0.001
Tex: _loadedTexture_199                     0.000    0.000    0.001
Tex: _loadedTexture_192                     0.000    0.000    0.001
Tex: _loadedTexture_72                      0.000    0.000    0.001
Tex: _loadedTexture_172                     0.000    0.000    0.001
Tex: _loadedTexture_69                      0.000    0.000    0.001
Tex: _loadedTexture_73                      0.000    0.000    0.001
Tex: _loadedTexture_211                     0.000    0.000    0.001
Tex: _loadedTexture_30                      0.000    0.000    0.001
Tex: _loadedTexture_81                      0.000    0.000    0.001
Tex: _loadedTexture_29                      0.000    0.000    0.001
Tex: _loadedTexture_170                     0.000    0.000    0.001
Tex: _loadedTexture_37                      0.000    0.000    0.001
Tex: _loadedTexture_76                      0.000    0.000    0.001
Tex: ColorHDR___                            0.000    0.000    0.001
Tex: _loadedTexture_7                       0.000    0.000    0.001
Tex: _loadedTexture_38                      0.000    0.000    0.001
Tex: _loadedTexture_2                       0.000    0.000    0.001
Tex: _loadedTexture_31                      0.000    0.000    0.001
Tex: _loadedTexture_5                       0.000    0.000    0.001
Tex: _loadedTexture_201                     0.000    0.000    0.001
Tex: _loadedTexture_128                     0.000    0.000    0.001
Tex: _loadedTexture_67                      0.000    0.000    0.001
Tex: _loadedTexture_210                     0.000    0.000    0.001
Tex: _loadedTexture_198                     0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_FloodFillFarCS_1CB    0.000    0.000    0.001
Tex: _loadedTexture_6                       0.000    0.000    0.001
Tex: _loadedTexture_34                      0.000    0.000    0.001
Tex: _loadedTexture_206                     0.000    0.000    0.001
Tex: _loadedTexture_78                      0.000    0.000    0.001
Tex: _loadedTexture_120                     0.000    0.000    0.001
Const: _GatherDOF_Pinhole_NearBlur_0CB      0.000    0.000    0.001
Tex: _loadedTexture_70                      0.000    0.000    0.001
Tex: _loadedTexture_35                      0.000    0.000    0.001
Tex: _loadedTexture_33                      0.000    0.000    0.001
Tex: ColorHDR_                              0.000    0.000    0.001
Tex: _loadedTexture_209                     0.000    0.000    0.001
Tex: _loadedTexture_194                     0.000    0.000    0.001
Const: _GatherDOF_Pinhole_FloodFillFarCS_1CB    0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_FloodFillFarCS_0CB    0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_NearBlur_0CB    0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_SetupCS_0CB    0.000    0.000    0.001
Tex: _loadedTexture_1                       0.000    0.000    0.001
Const: _GatherDOF_Pinhole_BlurFarCS_0CB     0.000    0.000    0.001
Tex: _loadedTexture_0                       0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_BlurFarCS_0CB    0.000    0.000    0.001
Tex: _loadedTexture_4                       0.000    0.000    0.001
Tex: _loadedTexture_3                       0.000    0.000    0.001
Tex: ColorHDR__                             0.000    0.000    0.001
Tex: LinearDepth                            0.000    0.000    0.001
Tex: ColorHDR                               0.000    0.000    0.001
