Bokeh Technique Profiling Summary
==================================================

Warmup frames: 5
Profiling frames: 100

GPU Timings (ms):
--------------------------------------------------
Pass                                Avg      Min      Max
Tex: _loadedTexture_167           0.000    0.000    0.000
Tex: _loadedTexture_147           0.000    0.000    0.001
Tex: _loadedTexture_110           0.000    0.000    0.001
Tex: _loadedTexture_190           0.000    0.000    0.000
Tex: _loadedTexture_188           0.000    0.000    0.001
Tex: _loadedTexture_149           0.000    0.000    0.001
Tex: _loadedTexture_176           0.000    0.000    0.001
Tex: _loadedTexture_200           0.000    0.000    0.000
Tex: _loadedTexture_208           0.000    0.000    0.000
Tex: _loadedTexture_160           0.000    0.000    0.001
Tex: _loadedTexture_166           0.000    0.000    0.001
Tex: _loadedTexture_140           0.000    0.000    0.001
Tex: _loadedTexture_192           0.000    0.000    0.000
Tex: _loadedTexture_164           0.000    0.000    0.001
Tex: _loadedTexture_182           0.000    0.000    0.000
Tex: _loadedTexture_174           0.000    0.000    0.001
Tex: _loadedTexture_148           0.000    0.000    0.001
Tex: _loadedTexture_198           0.000    0.000    0.001
Tex: _loadedTexture_206           0.000    0.000    0.001
Tex: _loadedTexture_186           0.000    0.000    0.001
Tex: _loadedTexture_162           0.000    0.000    0.000
Tex: _loadedTexture_194           0.000    0.000    0.001
Const: _GatherDOF_NearBlurCB      0.000    0.000    0.000
Const: _GatherDOF__1__NearBlurCB    0.000    0.000    0.000
Const: _GatherDOF_FloodFillFarCS_0CB    0.000    0.000    0.000
Const: _TemporalAccumulation_AccumulateCB    0.000    0.000    0.001
Const: _ToneMap_TonemapCB         0.000    0.000    0.000
Const: _ToneMap__2__TonemapCB     0.000    0.000    0.000
Const: _TemporalAccumulation__1__AccumulateCB    0.000    0.000    0.000
Tex: _loadedTexture_212           0.000    0.000    0.000
Const: _ToneMap__1__TonemapCB     0.000    0.000    0.000
Const: _GatherDOF__1__RecombineCSCB    0.000    0.000    0.000
Const: _GatherDOF_RecombineCSCB    0.000    0.000    0.000
Const: _GatherDOF_SetupCSCB       0.000    0.000    0.000
Const: _GatherDOF__1__SetupCSCB    0.000    0.000    0.001
Const: _GatherDOF__1__BlurFarCSCB    0.000    0.000    0.000
CS: GatherDOF_NearBlur            0.000    0.000    0.000
CS: GatherDOF_DownscaleTileMap_1_8    0.000    0.000    0.000
CS: GatherDOF_DownscaleTileMap_1_4    0.000    0.000    0.000
CS: GatherDOF_NearHalo            0.000    0.000    0.000
Const: _GatherDOF_FloodFillFarCS_1CB    0.000    0.000    0.000
CS: GatherDOF_FloodFillNear       0.000    0.000    0.000
CS: GatherDOF_NearBorder          0.000    0.000    0.001
Tex: _loadedTexture_209           0.000    0.000    0.001
Const: _GatherDOF_BlurFarCSCB     0.000    0.000    0.001
Tex: _loadedTexture_211           0.000    0.000    0.000
Tex: _loadedTexture_210           0.000    0.000    0.001
Const: _GatherDOF__1__FloodFillFarCS_1CB    0.000    0.000    0.000
Const: _GatherDOF__1__FloodFillFarCS_0CB    0.000    0.000    0.000
